,0
MAR,0.12953443076044685
HLT,0.06027997261373971
AZO,0.0026835543398884766
SPG,0.03604912329417944
WDAY,0.16291485826246174
FCX,0.009120729412319603
AEP,0.05561351675025246
TGT,0.02361150213025541
GM,0.1970451374011311
PCAR,0.27990621492018164
DLR,0.1603012473642527
MSTR,6.178188053301074
O,0.17475320921128135
PSX,0.30618752996070076
PSA,0.2682089184861111
MET,0.022643923670094615
PAYX,0.0008552034077703274
LNG,0.32324944827089036
CPRT,0.026279808553749794
ROST,0.07315461041751613
D,0.30225013587929683
DFS,0.09179314794913714
FICO,0.005497688614323117
MSCI,0.02151691525408349
EW,0.09073953209666359
FAST,0.004704700828774321
AME,0.0024091167352985844
GWW,0.023615543947060495
CTVA,0.07947265940513526
VRSK,0.07817460108103555
COR,0.170580567789509
LULU,0.042996214289636805
CCI,0.06459012285959215
LHX,0.5902938451950006
MNST,0.04527668607118179
PRU,0.04739272645003426
XEL,0.005665211083596001
HES,0.3867175819451147
VLO,0.07149984914783904
AXON,0.06503854161547473
DHI,0.021523628226632698
FIS,85.68044827402517
KDP,0.05424868806888214
IT,0.0549032493644384
TTWO,19.59908918349832
PWR,0.05685157383870832
DAL,0.43990180132183404
SYY,0.1336162414749892
A,0.05965272578522631
ETR,0.13788567760885792
GLW,0.02074308797046883
IDXX,0.002751339178064415
EA,0.006498459460555717
PCG,0.36459291820178796
ED,0.04574318391771274
GRMN,0.03696290516534548
IR,0.00279243364059582
ODFL,0.11642385867132557
GIS,0.018071820246166943
HUBS,22.724978535713394
WTW,0.2156250888275868
VICI,0.2504667302654816
WEC,0.008206390127013805
EXR,0.041682375568763905
ACGL,0.17558117388401684
RMD,0.03830589560886046
VEEV,0.03601703345902506
NDAQ,0.11421895873883989
ALNY,3.1788484497302765
CSGP,0.29683943640768734
AVB,0.0715384495626088
MCHP,0.43555083178180387
VMC,0.11715721968825504
NUE,0.2512919981919474
HUM,0.059104230209385725
OXY,0.061367058880623646
ARES,0.23143027564005056
MTB,0.09859691317145851
CNC,0.22771571274812324
UAL,2.593974981071675
TSCO,0.013067054341166593
VTR,0.01155357534102801
MLM,0.10576160457668789
LEN,0.10376093567247557
HPQ,0.009213127418218997
MPWR,0.6293893438373401
BRO,0.0365469844564181
BR,0.016187232992169356
